parkid,parkname,area_km2,yearestablished,coordinates,speciesid,engname,latname,countrycode,countryname,region,website
1,Breheimen,1671,2009,"{""x"":61.7195,""y"":7.0967}",1,Golden eagle,Aquila chrysaetos,no,Norway,Innlandet and Vestland counties,https://www.norgesnasjonalparker.no/en/nationalparks/breheimen/
1,Breheimen,1671,2009,"{""x"":61.7195,""y"":7.0967}",2,Eurasian Elk,Alces alces,no,Norway,Innlandet and Vestland counties,https://www.norgesnasjonalparker.no/en/nationalparks/breheimen/
2,Grand Canyon,4926,1919,"{""x"":36.055261,""y"":-112.121836}",3,Pinyon pine,Pinus monophylla,us,United States,Arizona,https://www.nps.gov/grca/index.htm
2,Grand Canyon,4926,1919,"{""x"":36.055261,""y"":-112.121836}",4,Grand Canyon rattlesnake,Crotalus oreganus abyssus,us,United States,Arizona,https://www.nps.gov/grca/index.htm
3,Plitvice Lakes,297,1979,"{""x"":44.880556,""y"":15.616111}",5,Lady's slipper orchid,Cypripedium calceolus,hr,Croatia,Lika-Senj county,https://np-plitvicka-jezera.hr/
3,Plitvice Lakes,297,1979,"{""x"":44.880556,""y"":15.616111}",6,Nose-horned viper,Vipera ammodytes,hr,Croatia,Lika-Senj county,https://np-plitvicka-jezera.hr/
4,Banff,6641,1885,"{""x"":51.5,""y"":-116}",7,Bull trout,Salvelinus confluentus,ca,Canada,Alberta,https://parks.canada.ca/pn-np/ab/banff
4,Banff,6641,1885,"{""x"":51.5,""y"":-116}",8,Plains bison,Bison bison bison,ca,Canada,Alberta,https://parks.canada.ca/pn-np/ab/banff
5,Serengeti,14763,1940,"{""x"":-2.333333,""y"":34.566667}",9,African leopard,Panthera pardus pardus,tz,Tanzania,Mara and Simiyu regions,https://www.serengeti.com/
5,Serengeti,14763,1940,"{""x"":-2.333333,""y"":34.566667}",10,Sausage Tree,Kigelia africana,tz,Tanzania,Mara and Simiyu regions,https://www.serengeti.com/
6,Khao Sok,739,1980,"{""x"":8.936667,""y"":98.530278}",11,Malayan tapir,Tapirus indicus,th,Thailand,Surat Thani province,https://www.tourismthailand.org/Attraction/khao-sok-national-park
6,Khao Sok,739,1980,"{""x"":8.936667,""y"":98.530278}",12,Centipede,Scolopendra cataracta,th,Thailand,Surat Thani province,https://www.tourismthailand.org/Attraction/khao-sok-national-park
7,Jasper,10878,1907,"{""x"":52.8,""y"":-117.9}",13,Grizzly bear,Ursus arctos horribilis,ca,Canada,Alberta,https://parks.canada.ca/pn-np/ab/jasper
7,Jasper,10878,1907,"{""x"":52.8,""y"":-117.9}",14,Orange agoseris,Agoseris aurantiaca,ca,Canada,Alberta,https://parks.canada.ca/pn-np/ab/jasper
9,Kruger,19623,1926,"{""x"":-24.011389,""y"":31.485278}",17,Harlequin quail,Coturnix delegorguei,za,South Africa,Limpopo and Mpumalanga provinces,https://www.sanparks.org/parks/kruger
9,Kruger,19623,1926,"{""x"":-24.011389,""y"":31.485278}",18,Mopane,Colophospermum mopane,za,South Africa,Limpopo and Mpumalanga provinces,https://www.sanparks.org/parks/kruger
